Nodes, Time (ms)
1,45422
1,54540
1,57641
1,68586
1,68717
1,60935
1,57045
1,62042
1,50725
1,70689
1,51793
1,66211
1,56192
1,53843
1,57654
1,40121
1,54159
1,61384
3,176761
3,165388
3,120552
3,11270
3,8401
3,8431
3,8616
3,8425
3,8791
3,8451
3,8442
3,8483
3,8655
3,8439
3,9553
3,9481
3,8398
3,8384
3,8392
1,4019
1,356
1,4034
1,4027
1,4031
1,4031
1,4039
3,21633
3,16843
3,12690
3,17412
3,17951
3,17909
3,17008
7,34315
7,34572
7,33550
7,36970
7,34903
7,34034
7,35988
7,42324
7,45683
7,44677
7,50063
7,50131
7,45591
7,43844
7,46619
7,54404
7,52940
7,39803
7,40348
7,45339
7,40530
7,43767
7,50241
7,35939
7,38046
7,37938
7,39516
7,49338
7,50334
7,44055
7,48266
7,44971
7,45228
7,44060
7,45545
7,47329
7,63303
7,42950
7,41789
7,39288
7,39688
7,49594
3,24657
3,23560
3,19887
3,19910
3,21980
3,23455
3,18957
3,30685
3,22464
3,27279
3,25565
3,21124
3,17171
3,23112
3,18135
3,19797
3,19088
3,18370
3,28850
3,21534
3,23379
3,22525
3,18050
1,7314
1,17611
1,11393
1,5132
1,4990
1,5134
1,5213
1,5200
1,4558
1,4590
1,4851
1,4749
1,4135
1,5445
1,6086
1,5211
1,4548
1,4160
1,4437
1,4455
1,4292
1,4331
1,4449
1,5511
1,5685
1,5717
1,6644
1,6321
1,7341
1,7717
1,8538
1,9722
1,8751
1,9373
1,6462
1,4709
1,4740
1,4627
1,5144
1,6001
1,6436
1,7133
1,5522
1,22951
1,25341
1,23799
1,24745
1,26075
1,23355
1,22912
1,24118
1,25955
1,26990
6,22208
6,22227
6,22055
6,22359
6,22705
6,22749
6,22650
6,22985
6,23162
6,22965
6,23833
6,23440
6,23771
6,23719
6,23733
6,23628
6,23786
6,23703
6,29923
6,29640
6,24182
6,24174
6,23440
6,23619
6,23635
6,23759
6,23985
6,24004
6,22808
6,22802
6,22762
6,22533
6,22329
6,22218
6,21991
6,21764
6,21686
6,21559
